birth,sep,laoding
1.0,100,1.0125954842326417
1.0,3000,nan
1.0,500,1.073781516924685
2.5,100,1.048382087965923
2.5,3000,nan
2.5,500,0.9939087863114408
5.0,100,0.9940192217405404
5.0,3000,nan
5.0,500,1.0432611473535545
7.5,100,0.9944627152004385
7.5,3000,nan
7.5,500,1.0518335151464295
10.0,100,1.0069774931704598
10.0,3000,nan
10.0,500,0.9738072429236979
25.0,100,0.9511293003982482
25.0,3000,nan
25.0,500,1.0579527767659038
50.0,100,1.1123450929033314
50.0,3000,nan
50.0,500,1.0099860640394496
75.0,100,1.1074302740379602
75.0,3000,nan
75.0,500,1.084704247078068
100.0,100,1.1334344064634805
100.0,3000,nan
100.0,500,1.0821201240411293
250.0,100,1.2893463385444943
250.0,3000,nan
250.0,500,1.2270414769642037
500.0,100,1.667781823462899
500.0,3000,nan
500.0,500,1.4778802933522592
749.9999999999999,100,1.836163587953459
749.9999999999999,3000,nan
749.9999999999999,500,1.6492111096622768
1000.0,100,2.098670894138629
1000.0,3000,nan
1000.0,500,1.8975813648532973
